[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 the national archaeological museum ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the museum of thessaloniki ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 classical period ] ] [__fact_historical_period_description [__arg1 classical period ] [__arg2 was defined by the rise of athens ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 the goddess athena ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] [__optional_type [__arg1 entity0 ] [__arg2 prochous ] ] ]	[text] Unlike the coins you recently saw, which are located in The National Archaeological Museum, now this prochous is exhibited in The Museum of Thessaloniki. It was created during the classical period, which was defined by the rise of Athens. This prochous depicts the goddess Athena. [/text]
[__content_plan [__rst_elaboration [__fact_type compare_additive [__arg1 entity0 ] [__arg2 statue ] ] [__rst_joint [__fact_creation_time [__arg1 entity0 ] [__arg2 between 500 and 480 b.c. ] ] [__fact_sculpted_by [__arg1 entity0 ] [__arg2 polykleitos ] ] ] ] [__rst_contrast [__fact_creation_period [__arg1 entityplural ] [__arg2 classical period ] ] [__fact_creation_period [__arg1 entity0 ] [__arg2 hellenistic period ] ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] ]	[text] This is another statue; it was created between 500 and 480 B.C. and it was sculpted by Polykleitos. Unlike the vessels you recently saw, which were created during the classical period, this statue was created during the hellenistic period. [/text]
[__content_plan [__rst_contrast [__fact_original_location [__arg1 entityplural ] [__arg2 attica ] ] [__fact_original_location [__arg1 entity0 ] [__arg2 macedonia ] ] ] [__fact_exhibit_story [__arg1 entity0 ] [__arg2 it was part of a larger collection, dedicated to athena ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the national archaeological museum ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 the goddess athena ] ] [__optional_type [__arg1 entity0 ] [__arg2 tetradrachm ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] ]	[text] Unlike the vessels you recently saw, which were originally from Attica, this tetradrachm originates from Macedonia. It was part of a larger collection, dedicated to Athena. Now this tetradrachm is exhibited in The National Archaeological Museum. It depicts the goddess Athena. [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 the national archaeological museum ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the museum of thessaloniki ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 classical period ] ] [__fact_historical_period_time [__arg1 classical period ] [__arg2 480 and 323 b.c. ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 the goddess athena ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] [__optional_type [__arg1 entity0 ] [__arg2 prochous ] ] ]	[text] Unlike the coins you recently saw, which are located in The National Archaeological Museum, now this prochous is exhibited in The Museum of Thessaloniki. It was created during the classical period, which ranged between 480 and 323 B.C. It depicts the goddess Athena. [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 the national archaeological museum ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the museum of thessaloniki ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 classical period ] ] [__fact_historical_period_description [__arg1 classical period ] [__arg2 was defined by the rise of athens ] ] ] [__fact_exhibit_purpose [__arg1 entity0 ] [__arg2 was used in religious worship ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] Unlike the coins you recently saw, which are currently in The National Archaeological Museum, now this relief is exhibited in The Museum of Thessaloniki. It was created during the classical period, which was defined by the rise of Athens. This relief was used in religious worship. [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 the national archaeological museum ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the museum of thessaloniki ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 classical period ] ] [__fact_historical_period_description [__arg1 classical period ] [__arg2 was defined by the rise of athens ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 the goddess athena ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] Unlike the coins you recently saw, which are currently in The National Archaeological Museum, now this relief is exhibited in The Museum of Thessaloniki. It was created during the classical period, which was defined by the rise of Athens. This relief shows the goddess Athena. [/text]
[__content_plan [__rst_elaboration [__fact_type [__arg1 entity0 ] [__arg2 statue ] ] [__rst_joint [__fact_made_of [__arg1 entity0 ] [__arg2 bronze ] ] [__fact_exhibit_portrays [__arg1 entity0 ] [__arg2 apollo ] ] ] ] [__rst_contrast [__fact_creation_period compare_additive [__arg1 entityplural ] [__arg2 classical period ] ] [__fact_creation_period [__arg1 entity0 ] [__arg2 hellenistic period ] ] ] [__optional_type [__arg1 entityplural ] [__arg2 exhibit ] ] ]	[text] This is a statue; it is made of bronze and it portrays Apollo. Unlike the other exhibits you recently saw, which were created during the classical period, this statue was created during the hellenistic period. [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 the national archaeological museum ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the museum of thessaloniki ] ] ] [__fact_exhibit_purpose [__arg1 entity0 ] [__arg2 was used in religious worship ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] Unlike the coins you recently saw, which are currently in The National Archaeological Museum, this relief is located in The Museum of Thessaloniki. It was used in religious worship. [/text]
[__content_plan [__rst_contrast [__fact_original_location [__arg1 entityplural ] [__arg2 attica ] ] [__fact_original_location [__arg1 entity0 ] [__arg2 macedonia ] ] ] [__fact_exhibit_story [__arg1 entity0 ] [__arg2 it was part of a larger collection, dedicated to athena ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the national archaeological museum ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 the goddess athena ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] [__optional_type [__arg1 entity0 ] [__arg2 tetradrachm ] ] ]	[text] Unlike the vessels you recently saw, which were originally from Attica, this tetradrachm originates from Macedonia. It was part of a larger collection, dedicated to Athena. Now this tetradrachm is exhibited in The National Archaeological Museum. It shows the goddess Athena. [/text]
[__content_plan [__fact_original_location [__arg1 entity0 ] [__arg2 athens ] ] [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 the national archaeological museum ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 the museum of thessaloniki ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 the goddess athena ] ] [__fact_exhibit_story [__arg1 entity0 ] [__arg2 it was part of a larger collection, dedicated to athena ] ] [__optional_type [__arg1 entity0 ] [__arg2 figurine ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] This figurine originates from Athens. Unlike the coins you recently saw, which are currently in The National Archaeological Museum, now this figurine is exhibited in The Museum of Thessaloniki. It depicts the goddess Athena. It was part of a larger collection, dedicated to Athena. [/text]
